written report . ||| kursen examineras i form av en skriftlig rapport
- in form of a projects develop a small system consisting of hardware and or software according to an established development process and schedule . ||| - i projektform genomföra utveckling av ett mindre system bestående av hård- och eller mjukvara enligt en fastställd utvecklingsprocess och tidsplan .
- document the project work in the form of eg requirements specification , user manual and a project report . ||| - dokumentera projektarbetet i form av t ex kravspecifikation , användarmanual samt en projektrapport .
the course should be taken before the final thesis . ||| studierna eller projektarbetet ska göras före eventuellt examensarbete på programmet .
software development in c and assembly language , testing and troubleshooting . ||| programutveckling i c och assemblerspråk , test och felsökning .
structured assembler , basic code generation . ||| strukturerad assemblerprogrammering , grunder för kodgenerering .
first level system programming , ie how the computer is programmed to boot from power on , and handling of different types of exceptions such as internal errors , events and interrupts . ||| första nivåns systemprogrammering , dvs. hur datorn programmeras för start från spänningstillslag och hantering av olika typer av undantag så som interna fel , händelser och avbrott .
programming devices for parallel input and output , time management and programming of timers . ||| programmering av kretsar för parallell in- och utmatning , tidshantering och programmering av räknarkretsar .
basics of computer communications and programming devices for serial communications . ||| grunderna för datorkommunikation och programmering av kretsar för seriekommunikation .
moreover , a simple time-sharing systems ( in c and assembly language ) with special emphasis on the use of peripheral circuits , is implemented . ||| dessutom implementeras ett enkelt tidsdelningssystem ( i c och assemblerspråk ) med speciell tonvikt på användning av periferikretsar .
examination is based on a written exam and approved laboratory exercises . ||| för att bli godkänd på kursen krävs godkänd skriftlig tentamen samt godkända laborationer .
based on the exam result , the grade f , 3 , 4 , or 5 are given . ||| baserat på tentamensresultatet ges betygen u , 3 , 4 eller 5 .
write simple assembly language programs using the selected architecture's instruction set . ||| skriva enkla assemblerprogram med användande av den valda arkitekturens instruktionsuppsättning .
write simple machine oriented c programs using the programming language's data types and control structures . ||| skriva enkla maskinorienterade c-program med användande av programspråkets datatyper och styrstrukturer .
describe the assembler equivalent of typical programming structures in c. ||| beskriva motsvarigheten i assembler till typiska programstrukturer i c .
apply tools from the course to develop programs ||| utnyttja de i kursen använda verktygen för programutveckling på ett adekvat sätt .
contribute to the construction and programming of simple embedded systems with given components ||| medverka vid konstruktion och programmering av enkla inbyggda system med givna komponenter .
construct systems generating various types of exceptional events ( internal exceptions , interrupts , restarts ) ||| konstruera system innefattande olika typer av undantag ( interna undantag , avbrott , återstart ) .
describe and illustrate a few basic types of peripherals and their use ||| beskriva och exemplifiera några olika typer av digitala kringkomponenter och deras användning .
